"nmf_type","fixW","beta","addedCompW","noise","noise.lvl","Sample","F","P","R"
"NMF","adaptive",0,0,"airplane",1,12,0.41,0.3,0.65
"NMF","adaptive",0,0,"airplane",1,2,0.64,0.62,0.67
"NMF","adaptive",0,0,"airplane",1,13,0.51,0.5,0.52
"NMF","adaptive",0,0,"airplane",1,5,0.82,0.74,0.92
"NMF","adaptive",0,0,"airplane",1,14,0.57,0.43,0.85
"NMF","adaptive",0,1,"airplane",1,20,0.5,0.37,0.79
"NMF","adaptive",0,1,"airplane",1,18,0.57,0.43,0.83
"NMF","adaptive",0,1,"airplane",1,9,0.49,0.4,0.62
"NMF","adaptive",0,1,"airplane",1,11,0.48,0.34,0.8
"NMF","adaptive",0,1,"airplane",1,7,0.44,0.38,0.52
"NMF","adaptive",0,1,"airplane",1,16,0.43,0.3,0.74
"NMF","adaptive",0,1,"airplane",1,6,0.53,0.37,0.96
"NMF","adaptive",0,1,"airplane",1,17,0.74,0.63,0.9
"NMF","adaptive",0,1,"airplane",1,1,0.71,0.6,0.87
"NMF","adaptive",0,1,"airplane",1,10,0.67,0.55,0.86
"NMF","adaptive",0,1,"airplane",1,19,0.63,0.49,0.88
"NMF","adaptive",0,1,"airplane",1,8,0.74,0.62,0.92
"NMF","adaptive",0,1,"airplane",1,4,0.67,0.5,1
"NMF","adaptive",0,1,"airplane",1,15,0.37,0.24,0.78
"NMF","adaptive",0,1,"airplane",1,3,0.75,0.95,0.61
"NMF","adaptive",0,1,"airplane",1,12,0.44,0.32,0.71
"NMF","adaptive",0,1,"airplane",1,2,0.76,0.65,0.92
"NMF","adaptive",0,1,"airplane",1,13,0.57,0.56,0.59
"NMF","adaptive",0,1,"airplane",1,5,0.74,0.6,0.96
"NMF","adaptive",0,1,"airplane",1,14,0.54,0.4,0.81
"NMF","adaptive",0,2,"airplane",1,20,0.51,0.37,0.85
"NMF","adaptive",0,2,"airplane",1,18,0.57,0.44,0.83
"NMF","adaptive",0,2,"airplane",1,9,0.49,0.39,0.69
"NMF","adaptive",0,2,"airplane",1,11,0.51,0.35,0.92
"NMF","adaptive",0,2,"airplane",1,7,0.41,0.35,0.48
"NMF","adaptive",0,2,"airplane",1,16,0.39,0.27,0.7
"NMF","adaptive",0,2,"airplane",1,6,0.54,0.39,0.88
"NMF","adaptive",0,2,"airplane",1,17,0.72,0.58,0.96
"NMF","adaptive",0,2,"airplane",1,1,0.64,0.56,0.73
"NMF","adaptive",0,2,"airplane",1,10,0.72,0.62,0.86
"NMF","adaptive",0,2,"airplane",1,19,0.68,0.54,0.91
